Product Name,Price
2 x 4 x 8' Pressure Treated Wood (Above Ground Use Only),$8.25
4 x 4 x 8' Pressure Treated Wood Post (Suitable for Ground Contact),$19.15
1 x 1 x 48" Pressure Treated Wood Nailing Strip,$1.66
2 x 6 x 8' Pressure Treated Wood (Above Ground Use Only),$14.31
8' Pressure Treated Wood Mini Tie,$10.61
6 x 6 x 12' Pressure Treated Wood Post (Suitable for Ground Contact),$70.39
5/4 x 6 x 12' Pressure Treated Wood Decking (Above Ground Use Only),$14.77
1 x 6 x 8' Pressure Treated Wood Fence Board (Above Ground Use Only),$7.72
1 x 6 x 6' Pressure Treated Wood Fence Board (Above Ground Use Only),$5.80
2 x 2 x 8' Pressure Treated Wood (Above Ground Use Only),$5.29
6 x 6 x 10' Pressure Treated Wood Post (Suitable for Ground Contact),$58.68
5/4 x 6 x 8' Pressure Treated Wood Decking (Above Ground Use Only),$9.88
2 x 6 x 12' Pressure Treated Wood (Above Ground Use Only),$21.50
6 x 6 x 8' Pressure Treated Wood Post (Suitable for Ground Contact),$46.89
4 x 4 x 10' Pressure Treated Wood Post (Suitable for Ground Contact),$23.97
5/4 x 6 x 16' Pressure Treated Wood Decking (Above Ground Use Only),$19.78
2 x 12 x 12' Pressure Treated Wood (Above Ground Use Only),$52.69
2 x 6 x 10' Pressure Treated Wood (Above Ground Use Only),$17.90
2 x 8 x 8' Pressure Treated Wood (Above Ground Use Only),$19.12
2x4x10 MicroPro Sienna Treated Wood (Above Ground Use Only),$10.98
5/4 x 6 x 10' Pressure Treated Wood Decking (Above Ground Use Only),$12.42
4 x 4 x 12' Pressure Treated Wood Post (Suitable for Ground Contact),$28.77
2 x 4 x 12' Pressure Treated Wood (Above Ground Use Only),$13.23
2 x 6 x 16' Pressure Treated Wood (Above Ground Use Only),$28.60
2 x 8 x 12' Pressure Treated Wood (Above Ground Use Only),$28.68
1 x 6 x 5' Pressure Treated Wood Fence Board (Above Ground Use Only),$4.29
6 x 6 x 16' Pressure Treated Wood Post (Suitable for Ground Contact),$93.82
2 x 8 x 16' Pressure Treated Wood (Above Ground Use Only),$38.23
2 x 10 x 10' Pressure Treated Wood (Above Ground Use Only),$31.09
1 x 4 x 8' Pressure Treated Wood (Above Ground Use Only),$5.72
2 x 10 x 16' Pressure Treated Wood (Above Ground Use Only),$49.75
2 x 8 x 10' Pressure Treated Wood (Above Ground Use Only),$23.89
2 x 10 x 12' Pressure Treated Wood (Above Ground Use Only),$37.30
2 x 10 x 8' Pressure Treated Wood (Above Ground Use Only),$24.87
2 x 4 x 16' Pressure Treated Wood (Above Ground Use Only),$17.56
2 x 4 x 8' Grooved Pressure Treated Wood (Above Ground Use Only),$11.97
5 x 5 x 10' Pressure Treated Wood Post (Suitable for Ground Contact),$38.66
1 x 6 x 4' Pressure Treated Wood Fence Board (Above Ground Use Only),$3.69
5/4 x 6 x 14' Pressure Treated Wood Decking (Above Ground Use Only),$17.30
1 x 8 x 8' Pressure Treated Wood (Above Ground Use Only),$10.28
